company,mdate,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,Merge_Code,產業別,GICS_Category
1524 耿鼎,2024/06,0.09662888469944932,0.1813223055646738,0.0822924968401533,0.3960206326100152,0.8678565815648588,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2016/12,0.06451964318414474,0.05831993692429072,0.240200693235813,0.4486014943965198,0.8167348441698018,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2014/06,0.01516116378128068,0.01939777100376728,0.05956363637241963,0.457310675597728,0.7232821508459518,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2016/06,-0.03192005509061129,0.03876555308189052,0.11677321173808,0.4476879436336657,0.6389044555742218,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2017/12,0.02112980628820379,0.06915254624112016,0.1744768303263435,0.4512184695956011,0.7275983370848474,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2015/12,-0.145651349134674,-0.01938023564642426,0.1977925446052457,0.4661314745748909,0.4884082036394439,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2015/06,-0.009999841507712116,-0.03894282400687267,0.08665012687477769,0.4884321473491317,0.6751003246270473,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2021/06,-0.005864367985440645,0.09219269829535932,0.01060019350852332,0.4450116411899721,0.6829053388520927,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2018/12,0.02270499869838261,0.09075498189714969,0.1586932585237504,0.4339527625546684,0.7338813544846748,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2020/12,-0.001110379841316493,0.09534072126716704,0.125204847157407,0.4460518504478909,0.6911789517452366,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2019/06,-0.000609190035359155,0.0862883901048927,0.0511085893916755,0.4422020784372481,0.6921625825842741,15,0,0,0,0,0,1524,汽車工業,5
