coid,mdate,tcri,scr,xcdt,company,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,產業別,GICS_Category
3011,2019-12-01,7,314.0,,3011 今皓,0.2498001400160283,-0.1161178014739357,0.036057828259903,0.3421638558816223,1.034629863524554,30,0,0,0,0,0,電子零組件業,1
3011,2020-12-01,7,281.0,,3011 今皓,0.2150414137960513,-0.1559414065400655,0.0124898432764046,0.3881689511198061,0.9468803388498412,30,0,0,0,0,0,電子零組件業,1
3011,2021-12-01,7,292.0,,3011 今皓,0.2503935165398932,-0.1115226870787507,-0.1480529315618176,0.4095038827241264,0.9669419847612506,30,0,0,0,0,0,電子零組件業,1
3011,2022-12-01,7,364.0,,3011 今皓,0.3089056537701744,-0.1403220065217789,0.1573366309564997,0.3307849927332832,1.133877935110713,30,0,0,0,0,0,電子零組件業,1
3011,2023-12-01,7,269.0,,3011 今皓,0.131640334761005,0.0332932667042581,-0.0192509647341455,0.3213637913408417,0.8939712596614667,30,0,0,0,0,0,電子零組件業,1
3011,2024-12-01,7,217.0,,3011 今皓,-0.0326206548583707,0.0168943744255646,-0.1045476989483371,0.3798075649828266,0.648389145450627,30,0,0,0,0,0,電子零組件業,1
3013,2014-12-01,6,435.0,,3013 晟銘電,0.1903127499838579,0.1057315169831189,0.0990020732897095,0.3062302103266145,1.008102420008673,30,0,0,0,0,0,電腦及週邊設備業,1
3013,2015-12-01,6,450.0,,3013 晟銘電,0.2268311676689324,0.1179589230107152,0.2418090919602345,0.3003878491348787,1.085978963450886,30,0,0,0,0,0,電腦及週邊設備業,1
3013,2016-12-01,6,564.0,,3013 晟銘電,0.2420957352979565,0.1206225369283382,0.3828120282465505,0.3197355367887753,1.053529651485685,30,0,0,0,0,0,電腦及週邊設備業,1
3013,2017-12-01,6,543.0,,3013 晟銘電,0.2309564321319671,0.1361392782270464,0.1814395559424631,0.3521747263526388,0.9915128136317634,30,0,0,0,0,0,電腦及週邊設備業,1
3013,2018-12-01,6,461.0,,3013 晟銘電,0.2211827970311104,0.1256853001189821,0.0140377142859592,0.3990080653943838,0.9445479263897408,30,0,0,0,0,0,電腦及週邊設備業,1
3013,2019-12-01,6,468.0,,3013 晟銘電,0.2411605087237507,0.1390927704521956,0.0804105112228492,0.4001692418795396,0.9706352981610946,30,0,0,0,0,0,電腦及週邊設備業,1
3013,2020-12-01,6,442.0,,3013 晟銘電,0.2306268247314308,0.138462392556938,0.1745858655925065,0.4083702756123604,0.9893737379471484,30,0,0,0,0,0,電腦及週邊設備業,1
3013,2021-12-01,7,210.0,,3013 晟銘電,0.0763625507068658,0.0767709874223215,0.0113092602964742,0.524232728059137,0.7764065384467198,30,0,0,0,0,0,電腦及週邊設備業,1
3013,2022-12-01,7,456.0,,3013 晟銘電,0.1829642976857329,0.1061909711622727,0.2511604299953699,0.4542817761700915,0.9257184186127368,30,0,0,0,0,0,電腦及週邊設備業,1
3013,2023-12-01,7,520.0,,3013 晟銘電,0.1893802077806806,0.141303349910138,0.3525659099617508,0.4057862182845905,0.9426482713822304,30,0,0,0,0,0,電腦及週邊設備業,1
3013,2024-12-01,5,667.0,,3013 晟銘電,0.2166674515919786,0.1733430393395424,0.1112976002516406,0.3969736938860988,0.9547054753456214,30,0,0,0,0,0,電腦及週邊設備業,1
3014,2014-12-01,5,634.0,,3014 聯陽,0.489769341380025,0.0984022339530329,0.3949221034304231,0.1751246475753193,1.750871013053447,30,0,0,0,0,0,半導體業,1
3014,2015-12-01,5,603.0,,3014 聯陽,0.4885019162334385,0.1032706862262968,0.2769300389209179,0.1813577123701029,1.713825395984897,30,0,0,0,0,0,半導體業,1
